customer_key,customer_code,first_name,last_name,email,age_group,gender,loyalty_tier,signup_date
1,CUST-00001,LEBO,van der Merwe,customer1@email.com,55+,F,Bronze,2018-12-23
2,CUST-00002,Thandi,Nkosi,customer2@email.com,25-34,F,Silver,2022-09-15
3,CUST-00003,Zanele,Visser,customer3@email.com,25-34,M,Platinum,2021-02-12
4,CUST-00004,Mpho,van der Merwe,customer4@email.com,45-54,M,Silver,2018-06-27
5,CUST-00005,Lerato,Williams,customer5@email.com,18-24,M,Gold,2020-02-27
6,CUST-00006,Johan,Cele,customer6@email.com,45-54,F,Bronze,2021-02-12
7,CUST-00007,Karabo,Jacobs,customer7@email.com,55+,M,Bronze,2019-12-02
8,CUST-00008,Michael,Pillay,customer8@email.com,18-24,M,Platinum,2021-08-21
9,CUST-00009,Sipho,Visser,customer9@email.com,25-34,F,Silver,2021-07-12
10,CUST-00010,Hendrik,Kruger,customer10@email.com,55+,F,Silver,2020-12-12
11,CUST-00011,Naledi,Jacobs,customer11@email.com,18-24,M,Gold,2018-07-12
12,CUST-00012,Thabo,Visser,customer12@email.com,55+,F,Silver,2023-04-02
13,CUST-00013,Yolanda,Mokoena,customer13@email.com,18-24,F,Silver,2021-10-25
14,CUST-00014,THABO,Maluleke,customer14@email.com,55+,M,Platinum,2020-01-02
15,CUST-00015,Lebo,Smith,customer15@email.com,55+,M,Silver,2019-10-24
16,CUST-00016,MPHO,Sithole,customer16@email.com,25-34,M,Bronze,2021-06-13
17,CUST-00017,Hendrik,Ndlovu,customer17@email.com,25-34,M,Gold,2023-12-22
18,CUST-00018,Brenda,Williams,customer18@email.com,35-44,F,Gold,2020-04-03
19,CUST-00019,Lebo,Jacobs,customer19@email.com,18-24,M,Silver,2021-10-16
20,CUST-00020,Johan,Mokoena,customer20@email.com,18-24,M,Bronze,2021-09-15
21,CUST-00021,Nthabiseng,Sithole,customer21@email.com,25-34,F,Platinum,2023-04-21
22,CUST-00022,Sarah,Khumalo,customer22@email.com,18-24,M,Silver,2018-08-10
23,CUST-00023,Bongani,Naidoo,customer23@email.com,45-54,M,Bronze,2019-07-29
24,CUST-00024,Michael,Botha,customer24@email.com,18-24,M,Bronze,2019-02-06
